# Total Phase Data Center(tm) v6.61
# (c) 2005-2013 Total Phase, Inc.
# www.totalphase.com
#
# Fri Nov 21 12:41:12 2014
#
# Level,Ch,Index,m:s.ms.us,Len,Err,Bitrate,ID,Record,DLC,Data
0,,0,0:00.000.000,,,,,Capture started,,[Fri 21 Nov 2014 12:38:14 PM EET]
0,,1,0:00.000.000,,,,,Capture stopped,,[Fri 21 Nov 2014 12:38:14 PM EET]
0,,2,0:00.000.000,,,,,Capture started,,[Fri 21 Nov 2014 12:38:43 PM EET]
0,A,3,0:00.000.000,,,250 KHz,,<Bitrate Changed>,,250 KHz
0,A,4,0:00.000.000,,,,,<Listen-Only> / <Error Active>,,TX=0 RX=0
0,A,5,0:12.710.558,1 B,,250 KHz,002,Data Frame,1,00
0,A,6,0:12.710.794,1 B,,250 KHz,002,Data Frame,1,01
0,A,7,0:12.711.031,1 B,,250 KHz,002,Data Frame,1,02
0,A,8,0:12.711.275,1 B,,250 KHz,002,Data Frame,1,03
0,A,9,0:12.712.811,1 B,,250 KHz,002,Data Frame,1,04
0,A,10,0:12.713.047,1 B,,250 KHz,002,Data Frame,1,05
0,A,11,0:12.713.391,1 B,,250 KHz,002,Data Frame,1,06
0,A,12,0:12.713.636,1 B,,250 KHz,002,Data Frame,1,07
0,A,13,0:12.713.872,1 B,,250 KHz,002,Data Frame,1,08
0,A,14,0:12.714.104,1 B,,250 KHz,002,Data Frame,1,09
0,A,15,0:12.714.336,1 B,,250 KHz,002,Data Frame,1,0A
0,A,16,0:12.714.573,1 B,,250 KHz,002,Data Frame,1,0B
0,A,17,0:12.714.809,1 B,,250 KHz,002,Data Frame,1,0C
0,A,18,0:12.715.041,1 B,,250 KHz,002,Data Frame,1,0D
0,A,19,0:12.715.273,1 B,,250 KHz,002,Data Frame,1,0E
0,A,20,0:12.715.506,1 B,,250 KHz,002,Data Frame,1,0F
0,A,21,0:12.717.650,1 B,,250 KHz,002,Data Frame,1,10
0,A,22,0:12.717.882,1 B,,250 KHz,002,Data Frame,1,11
0,A,23,0:12.718.114,1 B,,250 KHz,002,Data Frame,1,12
0,A,24,0:12.718.346,1 B,,250 KHz,002,Data Frame,1,13
0,A,25,0:12.718.583,1 B,,250 KHz,002,Data Frame,1,14
0,A,26,0:12.718.815,1 B,,250 KHz,002,Data Frame,1,15
0,A,27,0:12.719.127,1 B,,250 KHz,002,Data Frame,1,16
0,A,28,0:12.719.359,1 B,,250 KHz,002,Data Frame,1,17
0,A,29,0:12.719.591,1 B,,250 KHz,002,Data Frame,1,18
0,A,30,0:12.719.828,1 B,,250 KHz,002,Data Frame,1,19
0,A,31,0:12.720.060,1 B,,250 KHz,002,Data Frame,1,1A
0,A,32,0:12.720.292,1 B,,250 KHz,002,Data Frame,1,1B
0,A,33,0:12.720.524,1 B,,250 KHz,002,Data Frame,1,1C
0,A,34,0:12.720.757,1 B,,250 KHz,002,Data Frame,1,1D
0,A,35,0:12.720.989,1 B,,250 KHz,002,Data Frame,1,1E
0,A,36,0:12.721.233,1 B,,250 KHz,002,Data Frame,1,1F
0,A,37,0:12.722.665,1 B,,250 KHz,002,Data Frame,1,20
0,A,38,0:12.722.897,1 B,,250 KHz,002,Data Frame,1,21
